"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"54957",0,"site16",2000,64,142,1,56.03,0.175
"55377",0,"site16",2008,37,156,0,56.03,0.175
"55476",0,"site16",2006,35,150,1,56.03,0.175
"56083",20,"site17",2011,43,152,1,56.25,0.975
"56283",16,"site17",2000,64,151,1,56.25,0.972916666666667
"56484",9,"site17",2006,52,156,0,56.25,0.9625
"56623",20,"site17",2010,25,155,1,56.25,0.975
"56916",33,"site17",2012,33,148,1,56.25,0.975
"57054",4,"site17",2002,60,154,1,56.25,0.972916666666667
"57676",8,"site17",2008,48,152,1,56.25,0.975
"57731",9,"site17",2001,65,146,0,56.25,0.972916666666667
"57945",20,"site17",2005,51,155,1,56.25,0.975
"58721",3,"site18",2011,59,153,0,56.25,1
"59127",14,"site18",2005,53,156,0,56.25,1
"59438",14,"site18",2007,55,157,0,56.25,0.9875
"59454",19,"site18",1998,46,156,1,56.25,0.994444444444444
"59830",10,"site18",2000,48,155,0,56.25,0.994444444444444
"59969",14,"site18",2008,56,152,0,56.25,0.9875
"60097",5,"site18",2012,50,157,1,56.25,1
"60372",8,"site18",2009,57,157,0,56.25,0.9875
"60646",4,"site18",2010,58,154,0,56.25,1
"60687",13,"site18",2001,49,154,0,56.25,0.994444444444444
"60917",14,"site18",2003,51,158,0,56.25,0.9875
"61124",5,"site18",2002,50,152,0,56.25,0.994444444444444
"61737",5,"site18",2006,54,153,0,56.25,1
"62011",8,"site19",2008,46,147,0,56.25,1
"62091",7,"site19",2010,48,147,0,56.25,1
"62225",8,"site19",2009,47,149,0,56.25,1
"62262",11,"site19",2003,43,150,0,56.25,1
"62606",9,"site19",2002,42,144,1,56.25,1
"62803",10,"site19",2005,51,153,1,56.25,1
"62836",5,"site19",2012,50,149,0,56.25,1
"63580",4,"site19",2011,49,147,0,56.25,1
"63862",3,"site19",2006,44,148,1,56.25,1
"64561",9,"site20",2008,38,145,1,56.26,1
"64793",4,"site20",2000,65,137,1,56.26,0.995833333333333
"64972",2,"site20",2003,68,147,0,56.26,1
"65305",4,"site20",2012,49,157,0,56.26,1
"65493",0,"site20",2010,47,155,1,56.26,0.9625
"65670",1,"site20",2004,69,144,0,56.26,1
"65720",0,"site20",2006,71,148,0,56.26,1
"65808",5,"site20",2009,39,140,0,56.26,1
"65896",3,"site20",2002,67,141,0,56.26,0.995833333333333
"65974",0,"site20",2005,70,144,0,56.26,1
"66711",3,"site20",2011,48,154,0,56.26,1
"67705",14,"site21",2008,45,152,0,56.26,1
"67763",13,"site21",2007,44,153,0,56.26,1
"68058",12,"site21",2010,47,142,0,56.26,1
"68138",12,"site21",2012,49,147,0,56.26,1
"68469",17,"site21",2003,51,160,0,56.26,0.9125
"68695",3,"site21",2002,50,154,0,56.26,0.990277777777778
"69004",15,"site21",2001,49,151,1,56.26,0.990277777777778
"69621",10,"site21",2009,46,140,0,56.26,1
"69942",9,"site21",2011,48,140,0,56.26,1
"70528",14,"site21",2005,42,152,1,56.26,1
"70596",5,"site21",2006,43,147,0,56.26,1
"70655",0,"site22",2005,25,156,0,56.25,0.5375
"71891",0,"site22",2002,27,159,0,56.25,0.545
"71932",0,"site22",2007,21,154,1,56.25,0.5375
"72228",0,"site22",2012,24,157,1,56.25,0.625
"72365",0,"site22",2003,27,157,1,56.25,0.5375
"72653",0,"site22",2001,26,157,0,56.25,0.545
"73104",0,"site22",2000,25,161,0,56.25,0.545
"73395",0,"site22",2008,20,152,1,56.25,0.5375
"74065",0,"site22",1999,24,160,1,56.25,0.545
"74116",0,"site22",2004,24,153,1,56.25,0.5375
"74214",0,"site22",2011,24,162,1,56.25,0.525
"74362",0,"site22",2010,22,159,0,56.25,0.5375
"74480",0,"site22",2006,26,155,0,56.25,0.5375
"74842",0,"site22",2009,21,152,0,56.25,0.5375
"75625",0,"site23",2003,64,149,0,56.44,1
"75670",0,"site23",2001,62,154,0,56.44,1
"75720",0,"site23",2007,68,152,0,56.44,1
"75723",0,"site23",1999,60,148,0,56.44,1
"76324",0,"site23",2002,63,152,0,56.44,1
"76733",0,"site23",2000,61,154,0,56.44,1
"77051",0,"site23",2009,70,151,0,56.44,1
"77382",0,"site23",2008,69,151,0,56.44,1
"77675",0,"site23",2006,67,152,0,56.44,1
"78217",0,"site23",2004,65,150,0,56.44,1
"78251",0,"site23",2005,66,155,0,56.44,1
"78676",0,"site23",2011,72,154,0,56.44,1
"79082",0,"site23",2010,71,153,0,56.44,1
"79106",0,"site23",2012,73,154,0,56.44,1
"79843",2,"site24",2002,41,149,0,56.45,0.99125
"79926",0,"site24",2008,40,141,1,56.45,1
"80448",0,"site24",2011,43,145,0,56.45,0.975
"80515",1,"site24",2006,45,148,0,56.45,1
"80544",4,"site24",2005,44,151,0,56.45,1
"80972",0,"site24",2012,45,148,1,56.45,0.95
