"","count","site","yr","observerAge","day","firstSurvey","latitude","lineCov"
"51904",9,"site15",2010,25,153,1,56.02,0.7375
"52248",6,"site15",2002,50,152,1,56.02,0.854166666666667
"52436",9,"site15",2004,50,154,1,56.02,0.9
"52627",6,"site15",2005,51,152,0,56.02,0.9375
"52648",2,"site15",2011,43,142,1,56.02,0.75
"52950",3,"site16",2007,36,161,0,56.03,0.175
"53345",0,"site16",2002,66,145,0,56.03,0.175
"53817",7,"site16",2009,38,159,0,56.03,0.175
"54055",2,"site16",2012,41,152,0,56.03,0.175
"54058",1,"site16",2003,67,134,0,56.03,0.175
"54627",4,"site16",2005,69,139,0,56.03,0.175
"55003",0,"site16",2004,68,142,0,56.03,0.175
"55166",2,"site16",2008,37,156,0,56.03,0.175
"55564",0,"site16",2006,35,150,1,56.03,0.175
"55645",2,"site16",2000,64,142,1,56.03,0.175
"55753",2,"site16",2011,40,158,0,56.03,0.175
"56190",0,"site17",2008,48,152,1,56.25,0.975
"56249",0,"site17",2010,25,155,1,56.25,0.975
"56936",0,"site17",2001,65,146,0,56.25,0.972916666666667
"57537",0,"site17",2011,43,152,1,56.25,0.975
"57664",0,"site17",2012,33,148,1,56.25,0.975
"57677",0,"site17",2000,64,151,1,56.25,0.972916666666667
"57837",0,"site17",2002,60,154,1,56.25,0.972916666666667
"58092",0,"site17",2006,52,156,0,56.25,0.9625
"58118",2,"site17",2005,51,155,1,56.25,0.975
"58381",5,"site18",2000,48,155,0,56.25,0.994444444444444
"58462",11,"site18",2010,58,154,0,56.25,1
"58824",2,"site18",2012,50,157,1,56.25,1
"58919",8,"site18",2009,57,157,0,56.25,0.9875
"59802",13,"site18",2006,54,153,0,56.25,1
"60540",10,"site18",2003,51,158,0,56.25,0.9875
"60669",11,"site18",2002,50,152,0,56.25,0.994444444444444
"60779",8,"site18",2005,53,156,0,56.25,1
"60973",21,"site18",1998,46,156,1,56.25,0.994444444444444
"61142",4,"site18",2007,55,157,0,56.25,0.9875
"61178",6,"site18",2011,59,153,0,56.25,1
"61693",14,"site18",2008,56,152,0,56.25,0.9875
"61966",8,"site18",2001,49,154,0,56.25,0.994444444444444
"62016",2,"site19",2005,51,153,1,56.25,1
"62631",1,"site19",2009,47,149,0,56.25,1
"62636",1,"site19",2003,43,150,0,56.25,1
"62787",2,"site19",2010,48,147,0,56.25,1
"62924",0,"site19",2011,49,147,0,56.25,1
"63686",0,"site19",2012,50,149,0,56.25,1
"63733",0,"site19",2002,42,144,1,56.25,1
"64400",0,"site19",2006,44,148,1,56.25,1
"64460",0,"site19",2008,46,147,0,56.25,1
"64751",8,"site20",2012,49,157,0,56.26,1
"64804",3,"site20",2011,48,154,0,56.26,1
"65000",3,"site20",2010,47,155,1,56.26,0.9625
"65048",0,"site20",2006,71,148,0,56.26,1
"65153",4,"site20",2003,68,147,0,56.26,1
"65220",1,"site20",2005,70,144,0,56.26,1
"65365",1,"site20",2002,67,141,0,56.26,0.995833333333333
"65441",4,"site20",2004,69,144,0,56.26,1
"65824",3,"site20",2000,65,137,1,56.26,0.995833333333333
"66814",7,"site20",2009,39,140,0,56.26,1
"66877",15,"site20",2008,38,145,1,56.26,1
"68168",3,"site21",2012,49,147,0,56.26,1
"68292",2,"site21",2005,42,152,1,56.26,1
"68303",0,"site21",2007,44,153,0,56.26,1
"68390",0,"site21",2009,46,140,0,56.26,1
"68712",2,"site21",2008,45,152,0,56.26,1
"68980",0,"site21",2006,43,147,0,56.26,1
"69032",1,"site21",2002,50,154,0,56.26,0.990277777777778
"69033",2,"site21",2010,47,142,0,56.26,1
"69682",1,"site21",2003,51,160,0,56.26,0.9125
"70530",0,"site21",2011,48,140,0,56.26,1
"70593",3,"site21",2001,49,151,1,56.26,0.990277777777778
"70724",2,"site22",2008,20,152,1,56.25,0.5375
"71023",10,"site22",2001,26,157,0,56.25,0.545
"71373",7,"site22",2004,24,153,1,56.25,0.5375
"71526",3,"site22",2009,21,152,0,56.25,0.5375
"71770",1,"site22",2007,21,154,1,56.25,0.5375
"72058",0,"site22",2011,24,162,1,56.25,0.525
"73102",5,"site22",2006,26,155,0,56.25,0.5375
"73748",11,"site22",2000,25,161,0,56.25,0.545
"74117",2,"site22",2010,22,159,0,56.25,0.5375
"74198",4,"site22",1999,24,160,1,56.25,0.545
"74354",15,"site22",2003,27,157,1,56.25,0.5375
"74556",11,"site22",2005,25,156,0,56.25,0.5375
"74699",4,"site22",2002,27,159,0,56.25,0.545
"75019",8,"site22",2012,24,157,1,56.25,0.625
"75703",2,"site23",2008,69,151,0,56.44,1
"75711",5,"site23",2005,66,155,0,56.44,1
"76225",9,"site23",2002,63,152,0,56.44,1
"76241",6,"site23",2006,67,152,0,56.44,1
"76381",5,"site23",2003,64,149,0,56.44,1
"76856",6,"site23",1999,60,148,0,56.44,1
"77252",4,"site23",2007,68,152,0,56.44,1
"77270",5,"site23",2011,72,154,0,56.44,1
"77671",3,"site23",2012,73,154,0,56.44,1
"77873",6,"site23",2004,65,150,0,56.44,1
"77992",3,"site23",2000,61,154,0,56.44,1
"78501",6,"site23",2001,62,154,0,56.44,1
"79117",2,"site23",2009,70,151,0,56.44,1
"79423",2,"site23",2010,71,153,0,56.44,1
"79679",0,"site24",2012,45,148,1,56.45,0.95
"79692",2,"site24",2008,40,141,1,56.45,1
"79779",4,"site24",2003,42,145,0,56.45,1
"79917",4,"site24",2009,41,143,0,56.45,0.9875
"79931",8,"site24",2006,45,148,0,56.45,1
"80181",9,"site24",2004,43,153,0,56.45,1
"80616",1,"site24",2001,40,148,1,56.45,0.99125
"80818",3,"site24",2011,43,145,0,56.45,0.975
"80868",5,"site24",2002,41,149,0,56.45,0.99125
"82040",0,"site24",2007,46,142,0,56.45,1
"82118",5,"site24",2005,44,151,0,56.45,1
"82193",5,"site24",2010,42,145,0,56.45,1
"83054",7,"site25",2006,55,154,0,56.67,0.875
"83161",17,"site25",2001,50,161,0,56.67,0.83375
"83173",7,"site25",2007,56,158,0,56.67,0.8375
"83478",2,"site25",2002,51,153,0,56.67,0.83375
"83752",7,"site25",2003,52,148,0,56.67,0.825
"84649",6,"site25",2011,60,152,0,56.67,0.8375
"84785",5,"site25",2008,57,149,0,56.67,0.825
"84976",5,"site25",2010,59,156,0,56.67,0.8375
"85524",4,"site25",2005,54,158,0,56.67,0.825
